Source,Date,Time,Word,Subject,Situation,Age_utterance,Age_current,gender
none,6/4/14,10:00,Bye Bye,action,waving goodbye and saying goodbye to people,14mOrLater,7to12y,female
none,6/11/14,10:00,Up,action,She wanted to be picked up and held,11m,13plusy,female
none,6/11/14,10:25,Dog,animaletc,"I was carrying her and she was looking over my shoulder.  Our dog was following behind us and she said ""dog"".",10mOrBefore,4to6y,female
none,6/11/14,10:27,Doggie,animaletc,I don't remember,10mOrBefore,4to6y,male
none,6/11/14,10:28,Dada,person,in our house,10mOrBefore,4to6y,male
none,6/11/14,10:28,Ball,animaletc,seeing the ball out of reach from him,dontremember,7to12y,male
none,6/11/14,10:28,Bye,action,"We were leaving my mother's and I asked her to say ""bye"" to grandma. She complied.",12m,4to6y,female
none,6/11/14,10:28,I Love You ,action,He repeated what I said ,10mOrBefore,0to3y,male
none,6/11/14,10:28,Bubble,animaletc,We were using a bubble gun and our child watched the bubbles come out. When we turned the gun off  he said bubble.,14mOrLater,0to3y,male
none,6/11/14,10:29,Wow ,action,,10mOrBefore,13plusy,female
none,6/11/14,10:28,Cat,animaletc,At home eating a family meal in the kitchen.,10mOrBefore,7to12y,female
none,6/11/14,10:29,Bil,animaletc,We were talking a walk ,10mOrBefore,7to12y,male
none,6/11/14,10:29,Dhudhu,animaletc,she was in need of milk,12m,0to3y,female
none,6/11/14,10:29,Key,animaletc,Boy wanted the car keys as soon as his dad came home. He was around a year old.,12m,7to12y,male
none,6/11/14,10:30,Up,action,Anytime he wanted me to pick him up,11m,0to3y,male
none,6/11/14,10:29,Dog,animaletc,Trying to call the dog.,10mOrBefore,0to3y,male
none,6/11/14,10:30,Banana,animaletc,He was eating the banana,11m,0to3y,male
none,6/11/14,10:31,Dog,animaletc,looking at the dog,10mOrBefore,0to3y,female
none,6/11/14,10:30,Gong,animaletc,His brother and daddy played with a ball.,10mOrBefore,0to3y,male
none,6/11/14,10:31,Fuck,,Fell down,14mOrLater,4to6y,female
none,6/11/14,10:30,Ball,animaletc,Ball,13m,4to6y,female
none,6/11/14,10:30,Mama,,No one scene.  She worked on various sounds for months until it evolved.  I can tell you exactly when she realized that she should give sign language to get something she wanted.,10mOrBefore,7to12y,female
none,6/11/14,10:30,Ball,animaletc,He wanted the ball and it was out of reach.  He pointd and spoke,12m,4to6y,male
none,6/11/14,10:31,More,animaletc,She was eating dinner and asked for more food. She also used the sign language sign for it which helped us understand what she was saying.,14mOrLater,4to6y,female
none,6/11/14,10:32,Ball,animaletc,He wanted his ball.,10mOrBefore,13plusy,male
none,6/11/14,12:31,Fish,animaletc,In bath toy fish ,14mOrLater,7to12y,female
none,6/11/14,10:28,Down,action,Eating at a table and he wanted to get down.,10mOrBefore,0to3y,male
none,6/11/14,10:32,Car,animaletc,he was looking at a car pointed to it and said CAR,14mOrLater,7to12y,male
none,6/11/14,10:28,Hot,other,"It may have been echolalia since he was later found to have autism but what I remember as his first words were ""mama"" and ""hot"" - as I warned him vehemently not to touch the heater.  My brother jokes about him saying ""hot mama"".  I remember him later saying ""knives scissors razors"" though that may have been a faulty memory just good dark humor.",dontremember,13plusy,male
none,6/11/14,10:32,Bubble,animaletc,She was in the sandbox in our yard and I was blowing bubbles at her,10mOrBefore,4to6y,female
none,6/11/14,10:31,Help,action,"carrying large pack of paper towels coming into kitchen repeating ""helphelphelp""",11m,13plusy,male
none,6/11/14,10:31,Touch,action,Child used his pointer finger to touch an object; mimicking parent,10mOrBefore,0to3y,male
none,6/11/14,10:33,Car,animaletc,He was looking toward his car,12m,0to3y,male
none,6/11/14,10:32,Hi,other,I was coming in to get her after her nap.,10mOrBefore,0to3y,female
none,6/11/14,10:34,Uh-Oh,action,she dropped a toy,10mOrBefore,7to12y,female
none,6/11/14,10:32,Vacuum,animaletc,Pointing to the vacuum cleaner.  He really liked the light on the front of it and my mom used it a lot.,10mOrBefore,0to3y,male
none,6/11/14,10:31,This,animaletc,He was pointing at something he wanted to hold,11m,0to3y,male
none,6/11/14,10:32,Dog,animaletc,"2nd child was pointing to neighbor's barking dog and said ""doh""",11m,0to3y,male
none,6/11/14,10:33,Bye,action,Her dad was leaving for work.,10mOrBefore,4to6y,female
none,6/11/14,10:32,Dessert,animaletc,meal time requesting favorite food,14mOrLater,0to3y,female
none,6/11/14,10:32,Boo,other,it was halloween time and we were in teepee in pumpkin patch and she said the word boo.  i'm not really sure what she thought it meant.  it was her little sister's first word 5 years hence as well.  no where near halloween.  perhaps peek-a-boo related.,12m,13plusy,female
none,6/11/14,10:34,Ta,other,No idea. but for few days he just went 'ta' ,10mOrBefore,0to3y,male
none,6/11/14,10:32,Papa,person,The word means little girl in an Indian Language (Telugu). She was pointing to a little girl in the park. Her grandfather repeatedly used that word to show her little girls playing in the park.,10mOrBefore,0to3y,female
none,6/11/14,10:35,Shoes,animaletc,Saw shoes at front door and slurred her first word.,12m,0to3y,female
none,6/11/14,10:35,Cat,animaletc,Our pet cat was walking out of the room,12m,7to12y,male
none,6/11/14,10:35,Hi,action,Mama was cooking and baby wanted to attract her attention.,11m,0to3y,female
none,6/11/14,10:35,Bird ,animaletc,We were outside and my son saw a bird fly by and land in a nearby tree. ,11m,0to3y,male
none,6/11/14,10:34,Sky,animaletc,We were sitting on the couch together and my son was staring out the window at the sky. I told him what it was and he repeated it many times. He used the word later on  in context.,dontremember,4to6y,male
none,6/11/14,10:35,Banana,animaletc,We were serving her mashed bananas and she pointed to the bananas on the table and said banana,10mOrBefore,4to6y,female
none,6/11/14,10:36,Hi,other,she was regarding us,10mOrBefore,0to3y,female
none,6/11/14,10:37,David ,person,don't remember,dontremember,4to6y,male
none,6/11/14,10:37,Bird,animaletc,looking out the window & a bird flew on the telephone wire,10mOrBefore,7to12y,male
none,6/11/14,10:37,Sam,animaletc,Sitting in the family room petting the family dog (Sam),12m,4to6y,male
none,6/11/14,10:35,Light,animaletc,"Every morning when she woke up she would look at the light in her room and we would say ""light"". Then one day she repeated it back ""ight""",10mOrBefore,7to12y,female
none,6/11/14,10:31,Uh-Oh,other,something dropped,14mOrLater,0to3y,female
none,6/11/14,10:39,Duck,animaletc,pointing to a duck in a book,10mOrBefore,7to12y,female
none,6/11/14,10:38,Hi,action,When I would enter his room in the morning to get him up I would always say hi one morning he said it back and continued to do so every morning.,,4to6y,male
none,6/11/14,10:38,Bus,animaletc,Walking on a sidewalk when a bus passed us,dontremember,13plusy,male
none,6/11/14,10:39,Yes,action,wanting more food,11m,4to6y,male
none,6/11/14,10:38,Cheese,animaletc,we were having a snack that included cheese.,11m,0to3y,male
none,6/11/14,10:38,Up,action,He was in high chair at Outback Steakhouse,10mOrBefore,4to6y,male
none,6/11/14,10:34,Hi,person,My husband and I were walking in the neighborhood after dinner. One of us was carrying the baby in a carrier.,dontremember,4to6y,male
none,6/11/14,10:40,Gung Gung ,person,She saw her grandpa ,11m,0to3y,female
