Date,Time,Word,Subject,Age_utterance,Age_current,gender
6/4/14,10:00,Bye Bye,action,14mOrLater,7to12y,female
6/11/14,10:00,Up,action,11m,13plusy,female
6/11/14,10:25,Dog,animaletc,10mOrBefore,4to6y,female
6/11/14,10:27,Doggie,animaletc,10mOrBefore,4to6y,male
6/11/14,10:28,Dada,person,10mOrBefore,4to6y,male
6/11/14,10:28,Ball,animaletc,dontremember,7to12y,male
6/11/14,10:28,Bye,action,12m,4to6y,female
6/11/14,10:28,I Love You ,action,10mOrBefore,0to3y,male
6/11/14,10:28,Bubble,animaletc,14mOrLater,0to3y,male
6/11/14,10:29,Wow ,action,10mOrBefore,13plusy,female
6/11/14,10:28,Cat,animaletc,10mOrBefore,7to12y,female
6/11/14,10:29,Bil,animaletc,10mOrBefore,7to12y,male
6/11/14,10:29,Dhudhu,animaletc,12m,0to3y,female
6/11/14,10:29,Key,animaletc,12m,7to12y,male
6/11/14,10:30,Up,action,11m,0to3y,male
6/11/14,10:29,Dog,animaletc,10mOrBefore,0to3y,male
6/11/14,10:30,Banana,animaletc,11m,0to3y,male
6/11/14,10:31,Dog,animaletc,10mOrBefore,0to3y,female
6/11/14,10:30,Gong,animaletc,10mOrBefore,0to3y,male
6/11/14,10:31,Fuck,,14mOrLater,4to6y,female
6/11/14,10:30,Ball,animaletc,13m,4to6y,female
6/11/14,10:30,Mama,,10mOrBefore,7to12y,female
6/11/14,10:30,Ball,animaletc,12m,4to6y,male
6/11/14,10:31,More,animaletc,14mOrLater,4to6y,female
6/11/14,10:32,Ball,animaletc,10mOrBefore,13plusy,male
6/11/14,12:31,Fish,animaletc,14mOrLater,7to12y,female
6/11/14,10:28,Down,action,10mOrBefore,0to3y,male
6/11/14,10:32,Car,animaletc,14mOrLater,7to12y,male
6/11/14,10:28,Hot,other,dontremember,13plusy,male
6/11/14,10:32,Bubble,animaletc,10mOrBefore,4to6y,female
6/11/14,10:31,Help,action,11m,13plusy,male
6/11/14,10:31,Touch,action,10mOrBefore,0to3y,male
6/11/14,10:33,Car,animaletc,12m,0to3y,male
6/11/14,10:32,Hi,other,10mOrBefore,0to3y,female
6/11/14,10:34,Uh-Oh,action,10mOrBefore,7to12y,female
6/11/14,10:32,Vacuum,animaletc,10mOrBefore,0to3y,male
6/11/14,10:31,This,animaletc,11m,0to3y,male
6/11/14,10:32,Dog,animaletc,11m,0to3y,male
6/11/14,10:33,Bye,action,10mOrBefore,4to6y,female
6/11/14,10:32,Dessert,animaletc,14mOrLater,0to3y,female
6/11/14,10:32,Boo,other,12m,13plusy,female
6/11/14,10:34,Ta,other,10mOrBefore,0to3y,male
6/11/14,10:32,Papa,person,10mOrBefore,0to3y,female
6/11/14,10:35,Shoes,animaletc,12m,0to3y,female
6/11/14,10:35,Cat,animaletc,12m,7to12y,male
6/11/14,10:35,Hi,action,11m,0to3y,female
6/11/14,10:35,Bird ,animaletc,11m,0to3y,male
6/11/14,10:34,Sky,animaletc,dontremember,4to6y,male
6/11/14,10:35,Banana,animaletc,10mOrBefore,4to6y,female
6/11/14,10:36,Hi,other,10mOrBefore,0to3y,female
6/11/14,10:37,David ,person,dontremember,4to6y,male
6/11/14,10:37,Bird,animaletc,10mOrBefore,7to12y,male
6/11/14,10:37,Sam,animaletc,12m,4to6y,male
6/11/14,10:35,Light,animaletc,10mOrBefore,7to12y,female
6/11/14,10:31,Uh-Oh,other,14mOrLater,0to3y,female
6/11/14,10:39,Duck,animaletc,10mOrBefore,7to12y,female
6/11/14,10:38,Hi,action,,4to6y,male
6/11/14,10:38,Bus,animaletc,dontremember,13plusy,male
6/11/14,10:39,Yes,action,11m,4to6y,male
6/11/14,10:38,Cheese,animaletc,11m,0to3y,male
6/11/14,10:38,Up,action,10mOrBefore,4to6y,male
6/11/14,10:34,Hi,person,dontremember,4to6y,male
6/11/14,10:40,Gung Gung ,person,11m,0to3y,female
6/11/14,10:41,Blue,,11m,13plusy,male
6/11/14,10:42,Ball,animaletc,10mOrBefore,0to3y,male
6/11/14,10:42,Car,animaletc,14mOrLater,0to3y,male
6/11/14,10:42,Dog,animaletc,10mOrBefore,0to3y,male
6/11/14,10:42,Ball,animaletc,10mOrBefore,0to3y,male
6/11/14,10:43,Owl,animaletc,10mOrBefore,0to3y,female
6/11/14,10:43,Hi,other,11m,7to12y,female
6/11/14,10:44,Kotj,animaletc,10mOrBefore,4to6y,female
6/11/14,10:44,Wow,action,11m,0to3y,male
6/11/14,10:44,Bate,action,10mOrBefore,4to6y,female
6/11/14,10:44,Mas Agua,action,dontremember,7to12y,female
6/11/14,10:47,Cheese,animaletc,12m,0to3y,male
6/11/14,10:47,Nana,action,10mOrBefore,4to6y,male
6/11/14,10:48,Baby,person,14mOrLater,0to3y,male
6/11/14,10:47,Bird,animaletc,13m,7to12y,male
6/11/14,10:49,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,10:42,Dog Dog,animaletc,10mOrBefore,0to3y,male
6/11/14,10:50,Ball,animaletc,14mOrLater,0to3y,male
6/11/14,10:48,Erge,person,10mOrBefore,7to12y,female
6/11/14,10:50,Ball,animaletc,12m,7to12y,male
6/11/14,10:48,Kuta ,animaletc,14mOrLater,0to3y,male
6/11/14,10:32,Dada,other,11m,0to3y,male
6/11/14,10:49,Baba ,,11m,0to3y,male
6/11/14,10:50,Sean,person,12m,7to12y,female
6/11/14,10:50,Oh Wow,other,10mOrBefore,0to3y,male
6/11/14,10:51,Hi,other,10mOrBefore,0to3y,female
6/11/14,10:49,Ball,animaletc,11m,0to3y,male
6/11/14,10:51,Heego ,action,12m,4to6y,female
6/11/14,10:53,Car,animaletc,11m,0to3y,male
6/11/14,10:52,Light,other,dontremember,4to6y,female
6/11/14,10:52,Yai,person,10mOrBefore,0to3y,male
6/11/14,10:54,Ball,animaletc,dontremember,0to3y,male
6/11/14,10:55,Uh-Oh,action,11m,7to12y,male
6/11/14,10:53,Kitty,animaletc,10mOrBefore,0to3y,female
6/11/14,10:54,Milk,animaletc,dontremember,0to3y,male
6/11/14,10:55,Anne,person,10mOrBefore,4to6y,male
6/11/14,10:55,Duck,animaletc,11m,7to12y,female
6/11/14,10:55,Yum,animaletc,11m,0to3y,male
6/11/14,10:55,No,other,14mOrLater,0to3y,female
6/11/14,10:56,Tiger,animaletc,13m,7to12y,male
6/11/14,10:58,Abuca,animaletc,11m,7to12y,male
6/11/14,10:58,Yes,other,10mOrBefore,0to3y,female
6/11/14,10:58,Quack,animaletc,12m,7to12y,female
6/11/14,10:59,Uh-Oh,action,13m,0to3y,female
6/11/14,11:01,Boobie,person,10mOrBefore,4to6y,female
6/11/14,11:01,Up,action,10mOrBefore,4to6y,female
6/11/14,11:01,Kitty,animaletc,13m,7to12y,female
6/11/14,11:01,Agua,animaletc,10mOrBefore,0to3y,female
6/11/14,10:52,Ball,animaletc,10mOrBefore,13plusy,male
6/11/14,11:00,Please,action,11m,0to3y,male
6/11/14,11:02,Tree,other,11m,7to12y,male
6/11/14,11:02,Dada,person,13m,0to3y,female
6/11/14,11:03,Nana  ,other,dontremember,0to3y,female
6/11/14,11:05,Book,animaletc,10mOrBefore,0to3y,male
6/11/14,11:06,Dada,person,10mOrBefore,7to12y,male
6/11/14,11:04,Want,action,14mOrLater,0to3y,male
6/11/14,11:05,Wow,other,10mOrBefore,0to3y,female
6/11/14,11:06,Uh-Oh,action,11m,4to6y,male
6/11/14,11:09,Catch,action,10mOrBefore,0to3y,male
6/11/14,11:10,Dog,animaletc,10mOrBefore,0to3y,female
6/11/14,11:09,Uh-Oh,action,14mOrLater,0to3y,male
6/11/14,11:12,Milk,animaletc,dontremember,0to3y,male
6/11/14,15:12,Water,animaletc,11m,0to3y,male
6/11/14,11:12,Up,action,12m,0to3y,male
6/11/14,11:14,Agua,animaletc,10mOrBefore,7to12y,female
6/11/14,11:14,Mum Mum ,animaletc,10mOrBefore,7to12y,male
6/11/14,11:13,Apple,animaletc,10mOrBefore,0to3y,female
6/11/14,11:14,Toup,animaletc,10mOrBefore,0to3y,male
6/11/14,11:13,Ball,animaletc,10mOrBefore,0to3y,male
6/11/14,11:16,Car,animaletc,12m,4to6y,male
6/11/14,11:18,Dog,animaletc,12m,0to3y,female
6/11/14,11:12,Dog,animaletc,10mOrBefore,0to3y,male
6/11/14,11:17,Kitty,animaletc,dontremember,0to3y,male
6/11/14,11:17,This,animaletc,14mOrLater,0to3y,male
6/11/14,11:20,Cheers,action,14mOrLater,0to3y,male
6/11/14,11:21,Uh-Oh,action,12m,0to3y,male
6/11/14,11:20,Yuck,other,dontremember,0to3y,male
6/11/14,11:20,Hi,action,10mOrBefore,0to3y,male
6/11/14,11:18,Happy,action,12m,0to3y,female
6/11/14,11:22,Da Da,person,10mOrBefore,4to6y,male
