Date,Time,Word,Subject,Age_utterance,Age_current,gender
6/4/14,10:00,Bye Bye,action,14mOrLater,7to12y,female
6/11/14,10:00,Up,action,11m,13plusy,female
6/11/14,10:25,Dog,animaletc,10mOrBefore,4to6y,female
6/11/14,10:28,Bye,action,12m,4to6y,female
6/11/14,10:29,Wow ,action,10mOrBefore,13plusy,female
6/11/14,10:28,Cat,animaletc,10mOrBefore,7to12y,female
6/11/14,10:29,Dhudhu,animaletc,12m,0to3y,female
6/11/14,10:31,Dog,animaletc,10mOrBefore,0to3y,female
6/11/14,10:31,Fuck,,14mOrLater,4to6y,female
6/11/14,10:30,Ball,animaletc,13m,4to6y,female
6/11/14,10:30,Mama,,10mOrBefore,7to12y,female
6/11/14,10:31,More,animaletc,14mOrLater,4to6y,female
6/11/14,12:31,Fish,animaletc,14mOrLater,7to12y,female
6/11/14,10:32,Bubble,animaletc,10mOrBefore,4to6y,female
6/11/14,10:32,Hi,other,10mOrBefore,0to3y,female
6/11/14,10:34,Uh-Oh,action,10mOrBefore,7to12y,female
6/11/14,10:33,Bye,action,10mOrBefore,4to6y,female
6/11/14,10:32,Dessert,animaletc,14mOrLater,0to3y,female
6/11/14,10:32,Boo,other,12m,13plusy,female
6/11/14,10:32,Papa,person,10mOrBefore,0to3y,female
6/11/14,10:35,Shoes,animaletc,12m,0to3y,female
6/11/14,10:35,Hi,action,11m,0to3y,female
6/11/14,10:35,Banana,animaletc,10mOrBefore,4to6y,female
6/11/14,10:36,Hi,other,10mOrBefore,0to3y,female
6/11/14,10:35,Light,animaletc,10mOrBefore,7to12y,female
6/11/14,10:31,Uh-Oh,other,14mOrLater,0to3y,female
6/11/14,10:39,Duck,animaletc,10mOrBefore,7to12y,female
6/11/14,10:40,Gung Gung ,person,11m,0to3y,female
6/11/14,10:43,Owl,animaletc,10mOrBefore,0to3y,female
6/11/14,10:43,Hi,other,11m,7to12y,female
6/11/14,10:44,Kotj,animaletc,10mOrBefore,4to6y,female
6/11/14,10:44,Bate,action,10mOrBefore,4to6y,female
6/11/14,10:44,Mas Agua,action,dontremember,7to12y,female
6/11/14,10:49,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,10:48,Erge,person,10mOrBefore,7to12y,female
6/11/14,10:50,Sean,person,12m,7to12y,female
6/11/14,10:51,Hi,other,10mOrBefore,0to3y,female
6/11/14,10:51,Heego ,action,12m,4to6y,female
6/11/14,10:52,Light,other,dontremember,4to6y,female
6/11/14,10:53,Kitty,animaletc,10mOrBefore,0to3y,female
6/11/14,10:55,Duck,animaletc,11m,7to12y,female
6/11/14,10:55,No,other,14mOrLater,0to3y,female
6/11/14,10:58,Yes,other,10mOrBefore,0to3y,female
6/11/14,10:58,Quack,animaletc,12m,7to12y,female
6/11/14,10:59,Uh-Oh,action,13m,0to3y,female
6/11/14,11:01,Boobie,person,10mOrBefore,4to6y,female
6/11/14,11:01,Up,action,10mOrBefore,4to6y,female
6/11/14,11:01,Kitty,animaletc,13m,7to12y,female
6/11/14,11:01,Agua,animaletc,10mOrBefore,0to3y,female
6/11/14,11:02,Dada,person,13m,0to3y,female
6/11/14,11:03,Nana  ,other,dontremember,0to3y,female
6/11/14,11:05,Wow,other,10mOrBefore,0to3y,female
6/11/14,11:10,Dog,animaletc,10mOrBefore,0to3y,female
6/11/14,11:14,Agua,animaletc,10mOrBefore,7to12y,female
6/11/14,11:13,Apple,animaletc,10mOrBefore,0to3y,female
6/11/14,11:18,Dog,animaletc,12m,0to3y,female
6/11/14,11:18,Happy,action,12m,0to3y,female
6/11/14,11:23,Shoe,animaletc,11m,4to6y,female
6/11/14,11:26,Dog,animaletc,10mOrBefore,0to3y,female
6/11/14,11:26,More,action,10mOrBefore,4to6y,female
6/11/14,11:27,Cat,animaletc,12m,4to6y,female
6/11/14,11:20,Duck,animaletc,10mOrBefore,0to3y,female
6/11/14,11:35,This,animaletc,11m,0to3y,female
6/11/14,11:44,Duck,animaletc,dontremember,4to6y,female
6/11/14,11:48,Hi,action,10mOrBefore,0to3y,female
6/11/14,11:47,Bup,action,13m,7to12y,female
6/11/14,11:49,Mummam,animaletc,10mOrBefore,4to6y,female
6/11/14,11:43,No,animaletc,10mOrBefore,4to6y,female
6/11/14,11:52,Purple  ,animaletc,14mOrLater,7to12y,female
6/11/14,11:52,Hi,animaletc,14mOrLater,7to12y,female
6/11/14,11:54,Cheese,animaletc,10mOrBefore,7to12y,female
6/11/14,11:55,Allah,other,10mOrBefore,4to6y,female
6/11/14,11:57,Bye,person,11m,0to3y,female
6/11/14,11:59,Dog,animaletc,14mOrLater,7to12y,female
6/11/14,12:00,Ball ,animaletc,10mOrBefore,7to12y,female
6/11/14,12:01,Park,action,dontremember,0to3y,female
6/11/14,12:04,More,animaletc,dontremember,0to3y,female
6/11/14,11:47,Papa,person,10mOrBefore,7to12y,female
6/11/14,15:03,Hi,other,10mOrBefore,0to3y,female
6/11/14,12:07,Bye ,action,11m,0to3y,female
6/11/14,12:12,Tree,other,11m,4to6y,female
6/11/14,12:15,Giggsy ,animaletc,10mOrBefore,4to6y,female
6/11/14,12:25,Dog,animaletc,10mOrBefore,4to6y,female
6/11/14,12:29,Uh-Oh,action,11m,0to3y,female
6/11/14,12:43,Hot,animaletc,dontremember,4to6y,female
6/11/14,12:42,Thank You ,other,12m,0to3y,female
6/11/14,12:41,Bird,animaletc,10mOrBefore,0to3y,female
6/11/14,13:46,Turtle,animaletc,10mOrBefore,13plusy,female
6/11/14,12:54,Brr   ,animaletc,10mOrBefore,4to6y,female
6/11/14,12:55,Book,animaletc,10mOrBefore,4to6y,female
6/11/14,12:58,Duck,animaletc,10mOrBefore,0to3y,female
6/11/14,12:59,Cat,animaletc,10mOrBefore,4to6y,female
6/11/14,13:00,Duck,animaletc,10mOrBefore,4to6y,female
6/11/14,13:03,Bye,action,10mOrBefore,0to3y,female
6/11/14,13:06,Pad ,animaletc,11m,4to6y,female
6/11/14,13:07,No,other,dontremember,0to3y,female
6/11/14,13:07,Up,action,10mOrBefore,4to6y,female
6/11/14,13:18,Cat,animaletc,10mOrBefore,0to3y,female
6/11/14,13:17,Aj,person,10mOrBefore,7to12y,female
6/11/14,13:24,Baba,person,10mOrBefore,0to3y,female
6/11/14,13:23,Ouch,action,12m,4to6y,female
6/11/14,13:16,No,action,10mOrBefore,4to6y,female
6/11/14,13:26,Doggie,animaletc,10mOrBefore,7to12y,female
6/11/14,13:30,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,13:36,Mama,animaletc,10mOrBefore,0to3y,female
6/11/14,13:39,Uh-Oh,action,dontremember,0to3y,female
6/11/14,13:46,Bird,animaletc,14mOrLater,4to6y,female
6/11/14,12:32,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,13:51,Meow,action,10mOrBefore,0to3y,female
6/11/14,13:55,Wow,,11m,4to6y,female
6/11/14,13:58,Ball,animaletc,13m,0to3y,female
6/11/14,14:02,Asterix,animaletc,12m,0to3y,female
6/11/14,14:04,Apple,animaletc,10mOrBefore,7to12y,female
6/11/14,14:12,Ball,animaletc,11m,4to6y,female
6/11/14,14:13,Cat,animaletc,14mOrLater,0to3y,female
6/11/14,14:17,Hi,action,13m,0to3y,female
6/11/14,14:18,Water,animaletc,10mOrBefore,0to3y,female
6/11/14,14:19,Boobie,action,10mOrBefore,0to3y,female
6/11/14,14:25,Duck,animaletc,10mOrBefore,7to12y,female
6/11/14,14:28,Dog,animaletc,10mOrBefore,0to3y,female
6/11/14,14:36,Dada,person,10mOrBefore,0to3y,female
6/11/14,14:31,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,14:38,Okay,action,14mOrLater,4to6y,female
6/11/14,14:54,Ball,animaletc,12m,7to12y,female
6/11/14,15:03,Hi,other,10mOrBefore,7to12y,female
6/11/14,15:04,Hi,,12m,0to3y,female
6/11/14,15:03,Owl,animaletc,12m,0to3y,female
6/11/14,15:13,Hi,person,10mOrBefore,0to3y,female
6/11/14,14:51,Uh-Oh,action,11m,0to3y,female
6/11/14,15:14,Vroom ,action,11m,0to3y,female
6/11/14,15:17,Bye Bye,action,10mOrBefore,0to3y,female
6/11/14,15:12,Baby,person,10mOrBefore,4to6y,female
6/11/14,15:27,Ball,animaletc,dontremember,0to3y,female
6/11/14,15:40,Hi,other,10mOrBefore,0to3y,female
6/11/14,15:41,Light ,,dontremember,13plusy,female
6/11/14,15:40,Aaji,person,10mOrBefore,0to3y,female
6/11/14,15:57,Car,animaletc,11m,0to3y,female
6/11/14,16:02,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,16:17,Nana,animaletc,14mOrLater,0to3y,female
6/11/14,16:23,Hi,other,10mOrBefore,0to3y,female
6/11/14,16:26,Uh-Oh,action,10mOrBefore,0to3y,female
